NO_INSCRIPTION,TCAR_CODE,SCARAC_CODE,NOMBRE,INFORMATIONS_FRANCAISES,INFORMATIONS_ANGLAISES
"9120665","ALLE","ASPH",,,
"9120665","ARMO","MELM",,,
"9120665","CHAU","AIRS",,,
"9120665","CHAU","PCON",,,
"9120665","CHAU","PELC",,,
"9120665","EAU","AMU",,,
"9120665","ENER","ELEC",,,
"9120665","ENER","GAZN",,,
"9120665","FACC","ASCE",,,
"9120665","EQUI","AU",,"Pr� filage alarme",
"9120665","SDIS","DEIN",,,
"9120665","EQUI","EAIR",,,
"9120665","FENE","PVC",,,
"9120665","FOPO","GAZ",,,
"9120665","PART","AVOI",,,
"9120665","PISC","CREU",,,
"9120665","PROX","AU",,"Service de navette",
"9120665","PROX","AUTO",,,
"9120665","PROX","GCPE",,,
"9120665","PROX","GOLF",,,
"9120665","PROX","PARC",,,
"9120665","PROX","PCYC",,,
"9120665","PROX","PRIM",,,
"9120665","PROX","SALP",,,
"9120665","PROX","SFON",,,
"9120665","PROX","TRSP",,,
"9120665","PARE","BOIS",,,
"9120665","PARE","PIER",,,
"9120665","SDB","ATTN",,,
"9120665","SS","AUCN",,,
"9120665","STAT","EXT",1,,
"9120665","SYEG","EGMU",,,
"9120665","AMEN","PAY",,,
"9120665","TFEN","MAN",,,
"9120665","TOIT","BAA",,,
"9120665","TOPO","PLAT",,,
"9120665","ZONG","RES",,,
"9138953","ALLE","UNI",,,
"9138953","EAU","AMU",,,
"9138953","ENER","AU",,"ELC+THERM",
"9138953","ENER","ELEC",,,
"9138953","GARA","SIMP",,,
"9138953","PARE","AU",,"4 c�t�s",
"9138953","PARE","PIER",,,
"9138953","STAT","EXT",4,,
"9138953","STAT","GARA",1,,
"9138953","SYEG","EGMU",,,
"9138953","ZONG","RES",,,
"9208200","PART","AEAU",,"R�servoir","Reservoir"
"9208200","PART","EAU",,"R�servoir","Reservoir"
"9208200","EAU","AUCN",,,
"9208200","PART","VILG",,,
"9208200","PROX","AU",,"Pistes de vtt et motoneige.",
"9208200","SYEG","AUCN",,,
"9208200","PART","BOIS",,,
"9208200","TOPO","ACCI",,,
"9208200","TOPO","ESCR",,,
"9208200","TOPO","PENT",,,
"9208200","TOPO","PLAT",,,
"9208200","TOPO","RAVI",,,
"9208200","ZONG","VILG",,,
"9283093","ALLE","ASPH",,,
"9283093","ARMO","MELM",,,
"9283093","CHAU","AIRS",,,
"9283093","CHAU","PCON",,,
"9283093","CHAU","PELC",,,
"9283093","EAU","AMU",,,
"9283093","ENER","ELEC",,,
"9283093","ENER","GAZN",,,
"9283093","FACC","ASCE",,,
"9283093","EQUI","AU",,"Pr� filage alarme",
"9283093","SDIS","DEIN",,,
"9283093","EQUI","EAIR",,,
"9283093","FENE","PVC",,,
"9283093","FOPO","GAZ",,,
"9283093","PART","AVOI",,,
