NO_INSCRIPTION,CHAMP_INUTILISE_1,COURTIER_INSCRIPTEUR_1,BUREAU_INSCRIPTEUR_1,COURTIER_INSCRIPTEUR_2,BUREAU_INSCRIPTEUR_2,PRIX_DEMANDE,UM_PRIX_DEMANDE,DEVISE_PRIX_DEMANDE,PRIX_LOCATION_DEMANDE,UM_PRIX_LOCATION_DEMANDE,DEVISE_PRIX_LOCATION_DEMANDE,CHAMP_INUTILISE_36,CODE_DECLARATION_VENDEUR,IND_REPRISE_FINANCE,IND_INTERNET,IND_ECHANGE_POSSIBLE,CHAMP_INUTILISE_37,CHAMP_INUTILISE_3,CHAMP_INUTILISE_4,DATE_MISE_EN_VIGUEUR,CHAMP_INUTILISE_38,MUN_CODE,QUARTR_CODE,PRES_DE,NO_CIVIQUE_DEBUT,NO_CIVIQUE_FIN,NOM_RUE_COMPLET,APPARTEMENT,CODE_POSTAL,CHAMP_INUTILISE_39,CHAMP_INUTILISE_40,CHAMP_INUTILISE_41,CHAMP_INUTILISE_5,CHAMP_INUTILISE_6,CHAMP_INUTILISE_7,CHAMP_INUTILISE_8,CHAMP_INUTILISE_9,CHAMP_INUTILISE_10,CHAMP_INUTILISE_11,CHAMP_INUTILISE_12,CHAMP_INUTILISE_13,CHAMP_INUTILISE_14,DATE_OCCUPATION,DELAI_OCCUPATION_FRANCAIS,DELAI_OCCUPATION_ANGLAIS,CHAMP_INUTILISE_42,CHAMP_INUTILISE_43,CHAMP_INUTILISE_44,DATE_FIN_BAIL,CHAMP_INUTILISE_52,CHAMP_INUTILISE_15,CHAMP_INUTILISE_45,CATEGORIE_PROPRIETE,GENRE_PROPRIETE,TYPE_BATIMENT,TYPE_COPROPRIETE,NIVEAU,NB_ETAGES,ANNEE_CONTRUCTION,CODE_ANNEE_CONSTRUCTION,CHAMP_INUTILISE_16,FACADE_BATIMENT,PROFONDEUR_BATIMENT,IND_IRREGULIER_BATIMENT,UM_DIMENSION_BATIMENT,SUPERFICIE_BATIMENT,UM_SUPERFICIE_BATIMENT,SUPERFICIE_HABITABLE,UM_SUPERFICIE_HABITABLE,CHAMP_INUTILISE_17,FACADE_TERRAIN,PROFONDEUR_TERRAIN,IND_IRREGULIER_TERRAIN,UM_DIMENSION_TERRAIN,SUPERFICIE_TERRAIN,UM_SUPERFICIE_TERRAIN,CHAMP_INUTILISE_46,ANNEE_EVALUATION,EVALUATION_MUNICIPALE_TERRAIN,EVALUATION_MUNICIPALE_BATIMENT,NB_PIECES,NB_CHAMBRES,NB_CHAMBRES_SOUS_SOL,NB_CHAMBRES_HORS_SOL,NB_SALLES_BAINS,NB_SALLES_EAU,CHAMP_INUTILISE_47,CHAMP_INUTILISE_48,CHAMP_INUTILISE_18,CHAMP_INUTILISE_19,CHAMP_INUTILISE_20,CHAMP_INUTILISE_21,DEPENSES_TOT_EXPLOITATION,CHAMP_INUTILISE_22,CHAMP_INUTILISE_23,NOM_PLAN_EAU,CHAMP_INUTILISE_24,CHAMP_INUTILISE_25,NB_CHAUFFE_EAU_LOUE,NB_UNITES_TOTAL,CHAMP_INUTILISE_26,CHAMP_INUTILISE_27,CHAMP_INUTILISE_28,CHAMP_INUTILISE_29,CHAMP_INUTILISE_30,CHAMP_INUTILISE_31,CHAMP_INUTILISE_32,CHAMP_INUTILISE_49,DATE_MODIF,FREQUENCE_PRIX_LOCATION,CODE_STATUT,UTILISATION_COMMERCIALE,CHAMP_INUTILISE_2,NOM_DU_PARC,CHAMP_INUTILISE_50,CHAMP_INUTILISE_51,RAISON_SOCIALE,EN_OPER_DEPUIS,IND_FRANCHISE,CHAMP_INUTILISE_33,CHAMP_INUTILISE_34,CHAMP_INUTILISE_35,IND_OPT_RENOUV_BAIL,ANNEE_MOIS_ECHEANCE_BAIL,URL_VISITE_VIRTUELLE_FRANCAIS,URL_VISITE_VIRTUELLE_ANGLAIS,URL_DESC_DETAILLEE,IND_TAXES_PRIX_LOCATION_DEMANDE,INCLUS_FRANCAIS,INCLUS_ANGLAIS,EXCLUS_FRANCAIS,EXCLUS_ANGLAIS,IND_TAXES_PRIX_DEMANDE,COURTIER_INSCRIPTEUR_3,BUREAU_INSCRIPTEUR_3,COURTIER_INSCRIPTEUR_4,BUREAU_INSCRIPTEUR_4,COURTIER1_TYPE_DIVUL_INTERET,COURTIER2_TYPE_DIVUL_INTERET,IND_VENTE_SANS_GARANTIE_LEGALE,COURTIER3_TYPE_DIVUL_INTERET,COURTIER4_TYPE_DIVUL_INTERET,LATITUDE,LONGITUDE,TYPE_SUPERFICIE_HABITABLE,POURC_QUOTE_PART,REV_POT_BRUT_RES,REV_POT_BRUT_COMM,REV_POT_BRUT_STAT,REV_POT_BRUT_AU,DATE_REV_BRUT_POT,PARTICULARITE_CONSTRUCTION,AU_GENRE_PROPRIETE_INFO_F,AU_GENRE_PROPRIETE_INFO_A,PRIX_DEMANDE_TAXE_INCL
"9120665",,"100453","RYX001",,,154500,,"CAN",,,,,,"N","O",,,,,2018/09/11,,"47005",,,,,"Rue de Joliette","007","J2L2K8",,,,,,,,,,,,,,2019/09/01,,,,,,,,,,"R","LS","IS","DIV","1",4,,"ACONS",,,,,,,,626,"PC",,,,,,15000,"PC",,,,,5,1,0,1,1,0,,,,,,,,,,,,,,"Luminaires, foyer au gaz",,,,28,,,,,,,,,2019/10/20 04:57:11,,"EV",,,,,,,,,,,,,,,,,"http://passerelle.centris.ca/redirect.aspx?CodeDest=ROYALLEPAGE&NoMLS=9120665","O",,,,,,,,,,,45.31266485,-72.63267559,"NET",,,,,,"NEUVE",,,167149
"9138953",,"51163","RYX001",,,599000,,"CAN",,,,,"AI","N","O",,,,,2019/10/18,,"56083","C","Saint-Maurice","61",,"Rue de l'Oasis",,"J3B7N1",,,,,,,,,,,,,,,"30 jours","30 days",,,,,,,,"R","ME","IS",,,,1987,,,43,57,"O","P",,,,,,118,100,,"P",11881,"PC",,2019,111100,414700,10,3,0,3,2,1,,,,,,,,,,,,,,"Hotte de cuisini�re, lustres et fixtures, plaque chauffante au gaz, Four encastr�. Micro-Onde, Lave-vaisselle, Thermo-pompe, Balayeuse centrale et accessoires, Syst�me d'alarme, Gazebo, Cabanon, Moteur �lectrique du garage, Compresseur pour la cave � vin, Stores, rideaux",,,,,,,,,,,,,2019/10/18 12:21:31,,"EV",,,,,,,,,,,,,,,,,"http://passerelle.centris.ca/redirect.aspx?CodeDest=JUMPTOOLS&NoMLS=9138953",,,,,,,,,,,,45.27970800,-73.25153500,,,,,,,,,,
"9208200",,"104444","CBJ006","116620","RYX001",35000,,"CAN",,,,,,"N","O",,,,,2019/08/19,,"92010",,,"306",,"Ch. du R�servoir",,"G0W2G0",,,,,,,,,,,,,,,"60 jours","60 days",,,,,,,,"T","TV",,,,,,,,,,,,,,,,,,,,,29701,"PC",,,,,,,,,,,,,,,,,,,,"rivi�re P�ribonka",,,,,,,,,,,,,,,,,2019/10/20 01:55:56,,"EV",,,,,,,,,,,,,,,,,"http://passerelle.centris.ca/redirect.aspx?CodeDest=VIACAPITALE&NoMLS=9208200","O",,,,,,,,,,,48.76597960,-72.05375788,,,,,,,,,,
"9283093",,"100453","RYX001",,,149500,,"CAN",,,,,,"N","O",,,,,2018/09/11,,"47005",,,,,"Rue de Joliette","003","J2L2K8",,,,,,,,,,,,,,2019/09/01,,,,,,,,,,"R","LS","IS","DIV","1",4,,"ACONS",,,,,,,,659,"PC",,,,,,15000,"PC",,,,,5,1,0,1,1,0,,,,,,,,,,,,,,"Luminaires, foyer au gaz",,,,28,,,,,,,,,2019/10/20 04:17:01,,"EV",,,,,,,,,,,,,,,,,"http://passerelle.centris.ca/redirect.aspx?CodeDest=ROYALLEPAGE&NoMLS=9283093","O",,,,,,,,,,,45.31267994,-72.63250393,"NET",,,,,,"NEUVE",,,161740
"9381595",,"88651","RYX001",,,50000,,"CAN",,,,,,"N","O",,,,,2018/08/10,,"46045",,"Old Dunham,Rue",,,"Rue River",,"J0J2H0",,,,,,,,,,,,,,,"20 jours","20 days",,,,,,,,"T","TV",,,,,,,,,,,,,,,,,66.88,71.59,"O","M",5688,"MC",,,,,,,,,,,,,,,,,,,,"Furnace Brook",,,,,,,,,,,,,,,,,2019/10/19 07:57:27,,"EV",,,,,,,,,,,,,,,"http://www.johannebourgoin.com","http://www.johannebourgoin.com","http://passerelle.centris.ca/redirect.aspx?CodeDest=JUMPTOOLS&NoMLS=9381595",,,,,,,,,,,"O",45.11816484,-72.91043731,,,,,,,,,,
"9444753",,"105668","RYX001","113925","RYX001",101159,,"CAN",,,,,,"N","O",,,,,2019/07/09,,"47047",,,,,"Av. des L�gendes",,"J0E1Z0",,,,,,,,,,,,,,,"15 jours","15 days",,,,,,,,"T","TV",,,,,,,,,,,,,,,,,25,66.85,"O","M",22257.60,"PC",,2019,71600,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019/10/17 04:14:44,,"EV",,,,,,,,,,,,,,,,,"http://passerelle.centris.ca/redirect.aspx?CodeDest=ROYALLEPAGE&NoMLS=9444753","O",,,,,,,,,,,45.45990613,-72.64624823,,,,,,,,,,
"9465911",,"88651","RYX001",,,310000,,"CAN",,,,,"AI","N","O","O",,,,2019/02/18,,"46075",,"Godefroy,Rue ","16",,"Rue Beach Hill",,"J0E1V0",,,,,,,,,,,,,,,"90 jours","90 days",,,,,,,,"R","ME","IS",,,,2009,,,20,40,,"P",1600,"PC",,,,22.98,43.59,"O","M",1024.30,"MC",,2019,46400,188200,10,3,0,3,2,1,,,,,,,,,,"Lac Brome",,,,"Stores et rideau, balayeuse centrale et Acc.,�changeur d'air. ",,,,,,,,,,,,,2019/10/24 03:36:23,,"EV",,,,,,,,,,,,,,,,,"http://passerelle.centris.ca/redirect.aspx?CodeDest=JUMPTOOLS&NoMLS=9465911",,,,,,,,,,,,45.24294165,-72.55200580,,,,,,,,,,
"9467953",,"88651","RYX001",,,270000,,"CAN",,,,,"AI","N","O",,,,,2019/04/01,,"46017",,"Rte 133","10",,"Av. Stanley",,"J0J1T0",,,,,,,,,,,,,,,"30 jours","30 days",,,,,,,,"R","PP","IS",,,,1983,,,24,50,,"P",1200,"PC",,,,77.46,76.32,,"M",7306.60,"MC",,2017,44600,188100,11,4,1,3,1,0,,,,,,,,,,"Lac Champlain",,,,,,,,,,,,,,,,,2019/10/07 02:45:40,,"EV",,,,,,,,,,,,,,,"http://www.johannebourgoin.com","http://www.johannebourgoin.com","http://passerelle.centris.ca/redirect.aspx?CodeDest=JUMPTOOLS&NoMLS=9467953",,,,,,,,,,,,45.02050781,-73.08563498,,,,,,,,,,
"9543692",,"112787","RYX001",,,389000,,"CAN",,,,,"AI","N","O",,,,,2019/08/02,,"56005",,,"202",,"25e Rue O.",,"J0J2K0",,,,,,,,,,,,,,,"90 jours","90 days",,,,,,,,"R","ME","IS",,,,2004,,,,,,,,,,,,39.43,53.64,,"M",22750.60,"PC",,2019,63700,274500,15,3,0,3,2,2,,,,,,,,,,,,,,"Piscine hors terre et accessoires, balayeuse central et accessoires, luminaires, stores et rideaux, thermopompe, lave-vaisselle, cabanon, cellier en bois, foyer ext�rieur.",,"T�l�vision murale.",,,,,,,,,,,2019/10/03 00:57:38,,"EV",,,,,,,,,,,,,,,,,"http://passerelle.centris.ca/redirect.aspx?CodeDest=ROYALLEPAGE&NoMLS=9543692",,,,,,,,,,,,45.08284700,-73.15533800,,,,,,,,,,
"9552084",,"100453","RYX001",,,279900,,"CAN",,,,,,"N","O",,,,,2019/10/07,,"47005",,,"85",,"Rue de Joliette","H-2","J2L2K8",,,,,,,,,,,,,,,"15 jours","15 days",,,,,,,,"R","ME","RG",,,,2019,,,6.10,10.67,"O","M",,,,,,6.10,24.13,"O","M",147.21,"MC",,,,,14,3,0,3,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,2019/10/14 10:16:37,,"EV",,,,,,,,,,,,,,,,,"http://passerelle.centris.ca/redirect.aspx?CodeDest=ROYALLEPAGE&NoMLS=9552084","O",,,,,,,,,,,45.31168400,-72.63297600,,,,,,,,,,321815
